ID,Gender,MP1,MP2,MP3,MP4,Regents Score,Course,Race
208999573,M,73.58,72.92,65.3,65.3,53,ush,Asian or Pacific Islander
215015082,M,67.17,73.76,72.6,72.6,53,chemistry,Hispanic or Latinx
217021724,M,54.35,54.17,52.53,52.53,53,global,Hispanic or Latinx
227171097,M,,72.98,72.87,72.87,54,chemistry,Hispanic or Latinx
214629081,F,90.95,94.18,94.92,94.92,54,physics,White
206548968,M,72.3,65.9,64.88,64.88,54,geometry,Black
209007434,M,60,58.12,57.67,57.67,54,geometry,Hispanic or Latinx
214643397,M,65.67,61.45,61.23,61.23,54,alg2,Black
214655417,F,76.17,62.8,67.81,67.81,54,alg2,Hispanic or Latinx
216128728,F,77.02,78.15,64.46,64.46,55,ush,Hispanic or Latinx
207603051,M,80.11,75.68,79.87,79.87,55,chemistry,
207350869,M,80.55,82.98,81.61,81.61,55,physics,Hispanic or Latinx
220105902,M,77.96,75.27,64.66,64.66,55,alg1,Hispanic or Latinx
214708513,F,91.93,80.56,71.82,71.82,55,alg1,Hispanic or Latinx
209094366,M,74.41,70.05,65.93,65.93,55,alg1,
214104770,M,74.55,66.5,64.53,64.53,55,geometry,Hispanic or Latinx
214452336,M,76.5,76.27,80.3,80.3,55,geometry,Hispanic or Latinx
215430869,M,64.42,62.55,55.3,55.3,55,alg2,Hispanic or Latinx
216128801,M,71.33,61.93,58.77,58.77,55,alg2,Hispanic or Latinx
215057035,M,52.5,49.5,48.9,48.9,55,alg2,White
214526840,F,78.17,62.87,64.56,64.56,55,alg2,White
218792398,F,81.53,67.69,72.28,72.28,55,earth,Hispanic or Latinx
219979333,M,74.37,65.5,66.13,66.13,55,earth,Hispanic or Latinx
246600597,M,69.13,60.98,64.11,64.11,55,living,Asian
216091959,M,69.26,67.45,74.04,74.04,55,living,Hispanic or Latinx
213554868,M,65.9,66.62,66.73,66.73,56,chemistry,Hispanic or Latinx
209076900,M,83.88,81.8,84.72,84.72,56,chemistry,Hispanic or Latinx
231712647,M,64.59,70.9,72.32,72.32,56,chemistry,Black
207580895,M,64.7,66.67,68.02,68.02,56,chemistry,
209094366,M,55.44,54.4,50.88,50.88,56,global,
215338658,M,83.65,85,80.02,80.02,56,physics,Hispanic or Latinx
215324336,F,87.74,69.98,68.34,68.42,56,earth,Asian
215983347,M,54.89,58.77,67.08,67.08,56,living,Hispanic or Latinx
218262566,F,73.18,75.65,73.72,73.72,57,chemistry,Black
207593674,M,70.61,63.27,65.59,65.59,57,chemistry,White
244846531,M,89.32,86.16,87.88,87.88,57,chemistry,
206547598,M,65.22,63.59,58.34,58.34,57,ela,Hispanic or Latinx
247918956,M,54.12,55.99,51.44,51.44,57,global,
209170976,M,82.29,69.44,76.97,76.97,57,alg1,Hispanic or Latinx
209088772,F,64.75,68.6,71.9,71.9,57,geometry,Hispanic or Latinx
219726478,F,64.4,69.6,71.75,71.75,57,geometry,Hispanic or Latinx
214451551,M,77.5,73.87,65.65,65.65,57,alg2,Black
215037318,F,60,58,63.37,63.37,57,alg2,White
218630291,M,96.5,90.08,87.54,87.54,57,alg2,White
220822290,F,86.51,81.77,77.45,77.45,57,earth,Hispanic or Latinx
219702420,F,66.77,66.63,70.93,70.93,57,living,Hispanic or Latinx
218264885,F,71.27,71.05,71.48,71.48,57,living,Hispanic or Latinx
209898436,M,69.66,69.5,64.58,64.58,58,ush,Hispanic or Latinx
215706300,M,54.9,56.13,57.35,57.35,58,global,Hispanic or Latinx
216165514,M,87.9,90.53,81.57,81.57,58,physics,Black
