,0,6.73E-06,2.32E-05,0.000113208,0.000113475,0.000122066,0.000142857,0.000148148,0.000190476,0.000222222,0.000285714,0.000333333,4.00E-04,0.00045283,0.000454545,0.000475499,5.00E-04,0.000554455,0.000577181,0.000666667,0.000705882,0.000756098,0.000761905,8.00E-04,0.000820513,0.000844262,0.000857143,0.000870968,0.000923077,0.000956522,0.001,0.001030303,0.001111111,0.001130435,0.001131637,0.001166667,0.0012,0.001243848,0.00125,0.001333333,0.00144,0.001473684,0.0015,0.001597484,0.0016,0.001714286,0.00172753,0.001733333,0.00175,0.001787234,0.001818182,0.001828953,0.001918919,0.001923077,0.001952663,0.001956989,0.001967742,0.001981996,0.001994155,0.002,0.002111111,0.002163205,0.002229425,0.002264151,0.002333333,0.0024,0.0025,0.002577181,0.002642857,0.002666667,0.002791209,0.0028,0.002888889,0.003,0.00308,0.0031,0.003131637,0.0032,0.003253848,0.003333333,0.003473684,0.0035,0.00352381,0.0036,0.0037,0.003729425,0.00375,0.003777778,0.003787234,0.003818182,0.003854545,0.003952663,0.004,0.004166667,0.004416811,0.004475499,0.0045,0.004555556,0.004666667,0.004742857,0.005,0.0052,0.005333333,0.0054,0.0055,0.0056,0.0057,0.005894737,0.005995758,0.006,0.0064,0.006496599,0.006825397,0.0072,0.007285714,0.007333333,0.0074,0.0076,0.007662425,0.007995758,0.008,0.008083477,0.0084,0.0092,0.009928571,0.01,0.0104,0.011179666,0.011428571,0.0116,0.011666667,0.012,0.0136,0.014,0.0156,0.016,0.016761905,0.018,0.0376,0.043502427,0.044,0.0515,0.057974355,0.058,0.06,0.062942733,0.146,0.164,0.192,0.905923077,0.981928571,0.983428571,0.983928571,0.985428571,0.986,0.986023166,0.987729425,0.988,0.988023166,0.9885,0.989,0.99,0.990023166,0.990229425,0.9905,0.9912,0.991333333,0.9916,0.992,0.992229425,0.992264151,0.992396092,0.9925,0.992525021,0.992666667,0.992761905,0.992853848,0.992888889,0.992960809,0.993,0.9931,0.9932,0.993253848,0.993319693,0.993497161,0.993554455,0.993995758,0.994,0.994023166,0.994083477,0.994117647,0.99426087,0.9944,0.9945,0.994577181,0.994666667,0.994761905,0.9948,0.995,0.995166667,0.9952,0.995466667,0.9955,0.995553846,0.9956,0.995662425,0.9957,0.996,0.996083477,0.996117647,0.996190476,0.996264151,0.996333333,0.9964,0.9965,0.996577181,0.9966,0.996642857,0.996666667,0.996672464,0.996738009,0.996761905,0.9968,0.996870968,0.996910112,0.997,0.9971,0.997166667,0.997179666,0.997186603,0.9972,0.997243848,0.99725,0.997251421,0.997333333,0.9974,0.997415321,0.997446009,0.997466667,0.99746827,0.9975,0.99752381,0.9976,0.997666667,0.997733333,0.99775,0.997787234,0.997804054,0.997866667,0.997910112,0.997933333,0.998,0.998006734,0.998113208,0.998113475,0.998117647,0.998122066,0.998135135,0.998142857,0.998148148,0.998152672,0.998163205,0.998166667,0.9982,0.998205128,0.99826087,0.998261905,0.998285714,0.998333333,0.998363636,0.99837037,0.998375,0.9984,0.99845283,0.998454545,0.998475499,0.9985,0.99852381,0.998554455,0.998577181,0.998646009,0.998647059,0.998666667,0.998705882,0.998742857,0.998756098,0.998761905,0.9988,0.998820513,0.998825397,0.998857143,0.998888235,0.998933333,0.999,0.999047619,0.999058824,0.99908,0.999105263,0.999111111,0.999126638,0.999130435,0.9992,0.999333333,0.999377907,0.9994,0.999473684,0.9995,0.99952381,0.999552663,0.999555556,0.9996,0.999627907,0.999636364,0.999714286,0.999733333,0.99975,0.999787234,0.999818182,0.999854545,0.999863636,0.999877467,0.999910112,0.999914595,0.999918919,0.999923077,0.999952663,0.999956989,0.999967742,0.999974355,0.999994155,1
0,277513,1,11,6,3,3,8,4,9,4,5,19,232,6,4,7,189,1,10,70,1,71,2,42,1,1,31,5,1,3,462,2,12,3,12,1,237,5,2,98,1,2,109,1,85,1,3,165,2,31,7,1,5,10,4,7,50,1,3,14382,3,1,1,1,1,8,12,2,2,19,1,11,1,65,1,3,1,191,2,18,5,25,2,43,2,1,4,1,10,4,1,3,4165,5,1,5,16,1,8,2,2,5,2,6,1,5,1,4,1,2901,1,1,1,2,1,1,2,1,1,1,1952,3,2,4,2,532,4,1,3,2,1,59,1,455,5,227,1,1,2,2,2,1,4,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,16,3,2,127,1,2,1,87,3,2,13,1,1,4,62,10,12,1,19,1,4,3,1,11,1,1,3,3,3,1,1,1,10,508,1,2,1,1,1,11,2,1,7,1,10,1,17,6,6,2,5,4,1,1656,7,1,15,2,1,23,10,27,1,1,19,1,1,24,5,2,1,95,1,10,10,1,16,16,1,2,7,1,3,1,1,21,11,1,51,2,5,3,4,1,3,2,2,8996,19,6,6,8,2,31,17,8,1,1,3,1,2,1,2,165,10,4,1,19,207,1,9,2,244,1,2,38,1,1,136,2,3,41,4,57,1,6,8,2,4,535,1,2,1,1,14,1,2,351,314,1,3,6,209,3,4,6,353,4,2,1,98,9,31,21,56,1,1,2,1,3,12,7,1,31,1,2,291037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,304834,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,306275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
